joint,metric,height_bin,azimuth_bin,height_label,n_azimuth,n_distance,model,bias_mean,bias_median,bias_std,n,reliability_weight
R_Elbow,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,28.328289323721062,28.305346553658826,4.422742014929294,9,0.07745445048563752
L_Hip,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,30.040227244332407,31.65453277860605,6.472854406093239,9,0.07233824372738899
R_Hip,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,27.985614679670135,32.1517138621588,9.094587656453347,9,0.06628488152257399
L_Knee,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,18.123334848506364,17.533459695438438,4.838947659244863,9,0.07638730415855724
R_Knee,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,18.100135044322894,18.551346102090605,3.3971323427776965,9,0.08014816762539058
L_Shoulder,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,44.6664099675156,44.96864052564717,6.316017868022779,9,0.07271740997304575
R_Shoulder,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,32.870458080678354,30.41389971775828,6.024393130144133,11,0.0896259839127688
L_Elbow,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,32.594614019318016,31.867569498100167,8.994682482423581,9,0.06650598956966636
R_Elbow,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,14.943650864160984,11.911721571833322,5.175083730562105,11,0.09219958138737266
L_Hip,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,24.043893101985944,23.0934777181698,5.85048275714413,11,0.09014705572651963
R_Hip,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,43.300934848769856,39.36830129274856,7.704870329284648,11,0.0847435273868705
L_Knee,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,18.88335811210498,19.38076407684541,4.33300736608059,11,0.09482421436481181
R_Knee,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,18.244044640332422,19.04235834042152,3.2870210195268044,11,0.09818868787666096
