joint,metric,height_bin,azimuth_bin,height_label,n_azimuth,n_distance,model,bias_mean,bias_median,bias_std,n,reliability_weight
R_Knee,angle_mae,0,3,Y=0.5,8,1,Model4_ViewBin,10.606123377509935,9.557748339304258,3.0173013406280114,8,0.07219131660537784
L_Shoulder,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,36.0378436529128,34.76667711944539,7.15439413027173,10,0.07852089787186196
R_Shoulder,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,28.079643803154216,28.35127580110845,4.607370984693155,11,0.09396095733419435
L_Elbow,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,28.689235395869776,26.91702620539928,8.895926726419622,10,0.07409245592570195
R_Elbow,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,15.31671734496728,13.916319595087216,7.615628063694283,11,0.08499599285647534
L_Hip,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,17.307119301531305,17.63333225603666,8.362578701296655,11,0.08290586088783243
R_Hip,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,10.70932464635207,10.436205156425576,4.432567378816653,11,0.09451004596365964
L_Knee,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,17.74343301602864,17.888345019514524,3.6492101808049973,11,0.0970103857096661
R_Knee,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,17.317383655909058,17.041173056926947,5.560869799226609,11,0.09102152842745254
L_Shoulder,angle_mae,0,5,Y=0.5,8,1,Model4_ViewBin,39.91867040071689,40.46780003491841,2.393784985393877,8,0.07370743297225267
