joint_short,height_bin,azimuth_bin,raw_abs_theta,signed_mean,n_test,bias_signed_theta,abs_bias,n_calib,corr_abs_theta,improvement,r2,n
L_Shoulder,0,7,2.1946569218195995,1.803456091928557,18,3.7718870219746052,6.781097509894059,431,1.5772301001550058,28.133181798305063,0.7498467755286122,10
L_Shoulder,1,0,5.958785333517921,5.454021007788335,239,5.594885364469261,6.876268126711211,514,0.36389996904865995,93.89305120622927,0.7678368046238806,14
L_Shoulder,1,1,4.976519598193901,-3.114277226504542,56,-1.0156232128294378,6.067795519381516,531,5.992142811023339,-20.408303288869423,0.9705362665277828,12
L_Shoulder,1,2,7.639662082669356,-4.481343211976338,195,-6.6118765321964545,8.866270073123953,589,14.251538614865812,-86.54671450973673,0.9241021245225066,12
L_Shoulder,1,3,10.706846711917372,-10.706846711917372,77,-12.009308397819245,12.971301559323363,393,22.71615510973662,-112.1647551416997,0.9252510662233232,15
L_Shoulder,1,4,13.94324798215059,-13.44528251110126,99,-14.101089216668022,14.570753823040278,453,28.04433719881861,-101.13202630204592,0.969268585357391,14
L_Shoulder,1,5,9.72020141367248,-9.720201413672479,125,-7.6366661638288775,7.6366661638288775,361,17.356867577501358,-78.56489633113061,0.5658367511585712,10
L_Shoulder,1,7,5.608222713833196,5.608222713833196,52,4.834205981298469,4.9782323709321785,382,0.7740167325347267,86.19853789640801,0.6861446387519421,12
L_Shoulder,2,0,12.679123414469451,5.2921843729171965,203,5.286795726216956,6.421313015337049,556,7.392327688252496,41.696855164164184,0.699853677076598,12
L_Shoulder,2,1,6.003312715283256,-3.1272104164377406,275,-0.8082716193905365,7.958230999643666,471,6.8115843346737925,-13.463760055891068,0.9693924412830612,12
L_Shoulder,2,2,8.584565607326558,-5.948482041996103,144,-4.326533067641497,7.724321328129753,405,12.911098674968056,-50.3989749224933,0.9799491999188232,11
L_Shoulder,2,3,10.729032565132483,-10.466860534612461,118,-13.316648401616787,13.316648401616785,371,24.04568096674927,-124.117885939629,0.9314496659218808,9
L_Shoulder,2,4,16.264112603536063,-16.264112603536063,35,-15.548890581714872,15.548890581714872,565,31.813003185250935,-95.60245284045997,0.9348340405478176,10
L_Shoulder,2,6,1.9349208156138682,1.9335747218129011,19,-2.264516143884942,3.983420509500119,645,4.199436959498811,-117.03404736831608,0.82454050347644,10
L_Shoulder,2,7,7.404280368466711,7.404280368466712,53,4.956987167603478,6.823089722730167,493,2.4472932008632338,66.94758870442364,0.9813458236976524,7
L_Shoulder,3,0,7.205575925317615,6.699840930460305,129,3.876144209245909,6.520721244239034,466,3.329431716071706,53.79367658352795,0.9092712257953858,8
L_Shoulder,3,1,7.330342067012201,-7.330342067012201,43,-3.972800099558784,8.605538923608114,497,11.303142166570986,-54.19665362462508,0.891545074632269,13
L_Shoulder,3,2,11.515043403003173,-3.2832021324793925,95,-5.979266376255721,8.812954428510764,499,17.49430977925889,-51.92569551840596,0.9391494414003754,9
L_Shoulder,3,4,16.452042489171347,-16.452042489171347,120,-15.609520786744774,16.124576316143514,306,32.06156327591612,-94.87892337391472,0.7168655493152086,10
L_Shoulder,3,5,7.54671820461474,-7.431016657815739,92,-10.230445619851773,10.244881154027386,301,17.777163824466513,-135.5615161779323,0.7982298636923784,7
L_Shoulder,3,6,5.571563561533666,-3.3375666666913317,171,-2.000003300034268,3.5835851094377733,469,7.571566861567934,-35.896625389726935,0.966500937234552,11
R_Elbow,0,0,26.272121212927356,22.87510983928939,71,21.05833832838892,26.37667816531432,559,5.2137828845384355,80.15469385862546,0.93461448669643,11
R_Elbow,0,1,43.14047039680898,43.14047039680898,395,43.91781213071244,43.91781213071245,427,0.7773417339034623,98.19811484030328,0.881249312175527,11
R_Elbow,0,2,56.07360969443135,56.07360969443135,444,58.06817646416392,58.06817646416392,418,1.9945667697325717,96.442949222278,0.8207807671117024,12
R_Elbow,0,3,78.80373304845149,78.80373304845149,85,68.7334314918383,71.0392526001538,274,10.070301556613188,87.22103488368808,0.7152016743256993,8
R_Elbow,0,4,78.38848723597779,73.27680202225591,60,73.44925322114109,75.1492960792502,310,4.9392340148367,93.69903133866097,0.9164066614650226,11
