folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,D_norm,n_frames,window,k_sigma
CapturedFrames_-3.0_1.5_-6.0,-3.0,1.5,-6.0,Y=1.5,5,SW,1.6733570998316525,21,7,3.0
CapturedFrames_-3.0_1.5_0.0,-3.0,1.5,0.0,Y=1.5,6,W,4.4034141933413435,78,7,3.0
CapturedFrames_-3.0_1.5_1.0,-3.0,1.5,1.0,Y=1.5,6,W,5.43904950217784,95,7,3.0
CapturedFrames_-3.0_1.5_2.0,-3.0,1.5,2.0,Y=1.5,7,NW,5.539332326583954,95,7,3.0
CapturedFrames_-3.0_1.5_3.0,-3.0,1.5,3.0,Y=1.5,7,NW,4.133052305018774,67,7,3.0
CapturedFrames_-3.0_1.5_4.0,-3.0,1.5,4.0,Y=1.5,7,NW,2.2553382354168074,40,7,3.0
CapturedFrames_-3.0_1.5_5.0,-3.0,1.5,5.0,Y=1.5,7,NW,1.9761267182410138,23,7,3.0
CapturedFrames_-3.0_1.5_6.0,-3.0,1.5,6.0,Y=1.5,7,NW,0.6273022867143078,11,7,3.0
CapturedFrames_-4.0_1.5_-1.0,-4.0,1.5,-1.0,Y=1.5,6,W,5.655906489739553,99,7,3.0
CapturedFrames_-4.0_1.5_-2.0,-4.0,1.5,-2.0,Y=1.5,5,SW,5.7114376474339625,88,7,3.0
CapturedFrames_-4.0_1.5_-3.0,-4.0,1.5,-3.0,Y=1.5,5,SW,3.3256002335659645,48,7,3.0
CapturedFrames_-4.0_1.5_-4.0,-4.0,1.5,-4.0,Y=1.5,5,SW,2.4148801596443668,42,7,3.0
CapturedFrames_-4.0_1.5_-5.0,-4.0,1.5,-5.0,Y=1.5,5,SW,1.6206916681580739,27,7,3.0
CapturedFrames_-4.0_1.5_-6.0,-4.0,1.5,-6.0,Y=1.5,5,SW,0.6379909080182883,6,7,3.0
CapturedFrames_-4.0_1.5_0.0,-4.0,1.5,0.0,Y=1.5,6,W,5.9120020329932235,105,7,3.0
CapturedFrames_-4.0_1.5_1.0,-4.0,1.5,1.0,Y=1.5,6,W,5.914915133929311,104,7,3.0
CapturedFrames_-4.0_1.5_2.0,-4.0,1.5,2.0,Y=1.5,7,NW,5.4032186412878955,65,7,3.0
CapturedFrames_-4.0_1.5_3.0,-4.0,1.5,3.0,Y=1.5,7,NW,2.2548155636237746,40,7,3.0
CapturedFrames_-4.0_1.5_4.0,-4.0,1.5,4.0,Y=1.5,7,NW,1.6578413428992533,27,7,3.0
CapturedFrames_-4.0_1.5_5.0,-4.0,1.5,5.0,Y=1.5,7,NW,0.7880832168267511,14,7,3.0
CapturedFrames_-4.0_1.5_6.0,-4.0,1.5,6.0,Y=1.5,7,NW,0.37898757254691096,4,7,3.0
CapturedFrames_-5.0_1.5_-1.0,-5.0,1.5,-1.0,Y=1.5,6,W,5.914653002365313,90,7,3.0
CapturedFrames_-5.0_1.5_-2.0,-5.0,1.5,-2.0,Y=1.5,6,W,4.134014661817371,57,7,3.0
CapturedFrames_-5.0_1.5_-3.0,-5.0,1.5,-3.0,Y=1.5,5,SW,2.414680369303772,33,7,3.0
CapturedFrames_-5.0_1.5_-4.0,-5.0,1.5,-4.0,Y=1.5,5,SW,1.5068488897809227,26,7,3.0
CapturedFrames_-5.0_1.5_-5.0,-5.0,1.5,-5.0,Y=1.5,5,SW,0.5116768653759909,7,7,3.0
CapturedFrames_-5.0_1.5_0.0,-5.0,1.5,0.0,Y=1.5,6,W,5.911390333271185,87,7,3.0
CapturedFrames_-5.0_1.5_1.0,-5.0,1.5,1.0,Y=1.5,6,W,5.596449085421667,63,7,3.0
CapturedFrames_-5.0_1.5_2.0,-5.0,1.5,2.0,Y=1.5,6,W,3.5590566509637074,36,7,3.0
CapturedFrames_-5.0_1.5_3.0,-5.0,1.5,3.0,Y=1.5,7,NW,1.9760703865006932,28,7,3.0
CapturedFrames_-5.0_1.5_4.0,-5.0,1.5,4.0,Y=1.5,7,NW,0.8463654892172767,12,7,3.0
CapturedFrames_-5.0_1.5_5.0,-5.0,1.5,5.0,Y=1.5,7,NW,0.3788279478839965,5,7,3.0
CapturedFrames_-6.0_1.5_-2.0,-6.0,1.5,-2.0,Y=1.5,6,W,0.1177130072082093,3,7,3.0
CapturedFrames_-6.0_1.5_-3.0,-6.0,1.5,-3.0,Y=1.5,5,SW,1.3573235676521647,6,7,3.0
CapturedFrames_-6.0_1.5_0.0,-6.0,1.5,0.0,Y=1.5,6,W,1.2655490842958244,5,7,3.0
CapturedFrames_-6.0_1.5_1.0,-6.0,1.5,1.0,Y=1.5,6,W,0.428981715986824,5,7,3.0
CapturedFrames_-6.0_1.5_2.0,-6.0,1.5,2.0,Y=1.5,6,W,0.2617703197136756,4,7,3.0
CapturedFrames_-6.0_1.5_3.0,-6.0,1.5,3.0,Y=1.5,7,NW,0.2618530337937677,4,7,3.0
CapturedFrames_0.0_1.5_-3.0,0.0,1.5,-3.0,Y=1.5,4,S,4.885863941996338,76,7,3.0
CapturedFrames_0.0_1.5_-4.0,0.0,1.5,-4.0,Y=1.5,4,S,3.8165329330946434,69,7,3.0
CapturedFrames_0.0_1.5_-5.0,0.0,1.5,-5.0,Y=1.5,4,S,2.8131661608211127,50,7,3.0
CapturedFrames_0.0_1.5_-6.0,0.0,1.5,-6.0,Y=1.5,4,S,1.6215162605456659,29,7,3.0
CapturedFrames_0.0_1.5_3.0,0.0,1.5,3.0,Y=1.5,0,N,4.273252533952212,74,7,3.0
CapturedFrames_0.0_1.5_4.0,0.0,1.5,4.0,Y=1.5,0,N,3.4374058998603876,61,7,3.0
CapturedFrames_0.0_1.5_5.0,0.0,1.5,5.0,Y=1.5,0,N,2.405612059399645,35,7,3.0
CapturedFrames_0.0_1.5_6.0,0.0,1.5,6.0,Y=1.5,0,N,1.4864092633971977,25,7,3.0
CapturedFrames_1.0_1.5_-3.0,1.0,1.5,-3.0,Y=1.5,4,S,5.459309398190763,73,7,3.0
CapturedFrames_1.0_1.5_-4.0,1.0,1.5,-4.0,Y=1.5,4,S,3.7608202056405196,63,7,3.0
CapturedFrames_1.0_1.5_-5.0,1.0,1.5,-5.0,Y=1.5,4,S,2.414874870823331,44,7,3.0
CapturedFrames_1.0_1.5_-6.0,1.0,1.5,-6.0,Y=1.5,4,S,1.5674958520621356,27,7,3.0
CapturedFrames_1.0_1.5_3.0,1.0,1.5,3.0,Y=1.5,0,N,4.803100569148745,77,7,3.0
CapturedFrames_1.0_1.5_4.0,1.0,1.5,4.0,Y=1.5,0,N,3.55905682157085,63,7,3.0
CapturedFrames_1.0_1.5_5.0,1.0,1.5,5.0,Y=1.5,0,N,2.625753027140595,39,7,3.0
