camera,joint,delta_theta_mean,delta_theta_std,delta_theta_abs_mean,error_3d_mean,count
CapturedFrames_-1.0_2.0_-6.0,RIGHT_ELBOW,24.390040303404543,2.5231752216772363,24.390040303404543,0.2649694551177578,29
CapturedFrames_-1.0_2.0_3.0,LEFT_ELBOW,-85.5338584441498,9.29437472089143,85.53385844414981,0.3914134870544387,78
CapturedFrames_-1.0_2.0_3.0,RIGHT_ELBOW,78.47079130232322,10.366688903201018,78.47079130232324,0.3554000179042995,78
CapturedFrames_-1.0_2.0_4.0,LEFT_ELBOW,-82.05194891270808,6.002499444451418,82.05194891270807,0.35087224011707224,71
CapturedFrames_-1.0_2.0_4.0,RIGHT_ELBOW,78.89225454289759,7.4033015552576815,78.89225454289758,0.3472992264737561,71
CapturedFrames_-1.0_2.0_5.0,LEFT_ELBOW,-80.3904699874697,4.811209324500257,80.3904699874697,0.3337664476575224,40
CapturedFrames_-1.0_2.0_5.0,RIGHT_ELBOW,80.97954873995155,6.763751062947214,80.97954873995154,0.3538902266853524,40
CapturedFrames_-1.0_2.0_6.0,LEFT_ELBOW,-77.26839417690123,3.477731477434105,77.26839417690124,0.294465378128503,13
CapturedFrames_-1.0_2.0_6.0,RIGHT_ELBOW,84.35908144389182,3.093696712317238,84.35908144389182,0.37062955624211036,13
CapturedFrames_-2.0_0.5_-3.0,LEFT_ELBOW,-27.138777924581678,10.961512025430164,27.138777924581678,0.2739773597762152,65
CapturedFrames_-2.0_0.5_-3.0,RIGHT_ELBOW,25.999975894167218,10.23362030128804,25.999975894167218,0.2785825060391743,65
CapturedFrames_-2.0_0.5_-4.0,LEFT_ELBOW,-24.682782760308243,8.407687849058709,24.682782760308246,0.2888374729207869,51
CapturedFrames_-2.0_0.5_-4.0,RIGHT_ELBOW,24.6812063754399,10.482264217303335,24.6812063754399,0.26272326891701026,51
CapturedFrames_-2.0_0.5_-5.0,LEFT_ELBOW,-25.883471439237525,6.855789592231578,25.88347143923752,0.2664735455192659,46
CapturedFrames_-2.0_0.5_-5.0,RIGHT_ELBOW,27.754291014567052,10.565152078854581,27.754291014567052,0.2751188171912724,46
CapturedFrames_-2.0_0.5_-6.0,LEFT_ELBOW,-24.626210080649482,5.402521052228794,24.626210080649482,0.2675914772740197,26
CapturedFrames_-2.0_0.5_-6.0,RIGHT_ELBOW,25.7493063525047,8.380253993717476,25.7493063525047,0.2751203923159822,26
CapturedFrames_-2.0_0.5_3.0,LEFT_ELBOW,-71.20639176231249,13.30106859984893,71.20639176231246,0.35485319583815744,63
CapturedFrames_-2.0_0.5_3.0,RIGHT_ELBOW,65.66954920703012,24.291596459553794,68.07753629967256,0.33301777516178027,63
CapturedFrames_-2.0_0.5_4.0,LEFT_ELBOW,-73.60767827321978,8.593628204088805,73.60767827321978,0.3415919401967573,49
CapturedFrames_-2.0_0.5_4.0,RIGHT_ELBOW,74.85341079453866,11.172266884923403,74.85341079453866,0.3344382624525119,49
CapturedFrames_-2.0_0.5_5.0,LEFT_ELBOW,-74.75130621905028,7.29159421525609,74.75130621905026,0.34030746540892914,29
