camera,joint,theta_mean,theta_std,count
CapturedFrames_-3.0_1.0_4.0,RIGHT_ELBOW,71.28776270105952,12.711167322850036,39
CapturedFrames_-3.0_1.0_5.0,LEFT_ELBOW,-73.30815381978724,9.580847508143453,27
CapturedFrames_-3.0_1.0_5.0,RIGHT_ELBOW,73.31842524169438,11.978410339541309,27
CapturedFrames_-3.0_1.0_6.0,LEFT_ELBOW,-79.41911005873683,3.491942823588628,8
CapturedFrames_-3.0_1.0_6.0,RIGHT_ELBOW,82.53511446879926,1.5327896657163533,8
CapturedFrames_-3.0_1.5_-1.0,LEFT_ELBOW,-34.19929701084845,26.29308765160572,85
CapturedFrames_-3.0_1.5_-1.0,RIGHT_ELBOW,41.67097501023903,23.149786126699006,85
CapturedFrames_-3.0_1.5_-2.0,LEFT_ELBOW,-32.578689509782784,13.619687549213666,88
CapturedFrames_-3.0_1.5_-2.0,RIGHT_ELBOW,37.438923708283774,11.035912816052571,88
CapturedFrames_-3.0_1.5_-3.0,LEFT_ELBOW,-36.04940638825833,13.563619459529964,73
CapturedFrames_-3.0_1.5_-3.0,RIGHT_ELBOW,34.82781290139628,12.10271604793168,73
CapturedFrames_-3.0_1.5_-4.0,LEFT_ELBOW,-36.88942037591227,12.319341364942717,56
CapturedFrames_-3.0_1.5_-4.0,RIGHT_ELBOW,35.03973070998878,12.917287366223348,56
CapturedFrames_-3.0_1.5_-5.0,LEFT_ELBOW,-32.74438557662789,7.474166267160516,36
CapturedFrames_-3.0_1.5_-5.0,RIGHT_ELBOW,32.49481630839708,12.119952981979717,36
CapturedFrames_-3.0_1.5_-6.0,LEFT_ELBOW,-32.917546794645396,3.2103399695754913,21
CapturedFrames_-3.0_1.5_-6.0,RIGHT_ELBOW,36.083913950270436,8.501959458516717,21
CapturedFrames_-3.0_1.5_0.0,LEFT_ELBOW,-46.67235559545575,24.929671387602426,78
CapturedFrames_-3.0_1.5_0.0,RIGHT_ELBOW,50.1835941587859,11.615918725537972,78
CapturedFrames_-3.0_1.5_1.0,LEFT_ELBOW,-60.411108931170325,35.56947745945892,95
CapturedFrames_-3.0_1.5_1.0,RIGHT_ELBOW,56.92366979218376,20.044706969385942,95
CapturedFrames_-3.0_1.5_2.0,LEFT_ELBOW,-66.22480723807372,22.054274198628974,95
CapturedFrames_-3.0_1.5_2.0,RIGHT_ELBOW,64.35348090927519,10.491744540742559,95
CapturedFrames_-3.0_1.5_3.0,LEFT_ELBOW,-66.36935598444094,16.81363098407128,67
CapturedFrames_-3.0_1.5_3.0,RIGHT_ELBOW,68.14500906897447,10.425808878093198,67
CapturedFrames_-3.0_1.5_4.0,LEFT_ELBOW,-69.5847285161332,11.72007073910435,40
CapturedFrames_-3.0_1.5_4.0,RIGHT_ELBOW,71.1233753329775,11.758098354496473,40
CapturedFrames_-3.0_1.5_5.0,LEFT_ELBOW,-72.6306793255497,9.105189284813248,23
CapturedFrames_-3.0_1.5_5.0,RIGHT_ELBOW,73.75489006522696,11.023231070283352,23
CapturedFrames_-3.0_1.5_6.0,LEFT_ELBOW,-78.12820675596309,3.0821461725254107,11
CapturedFrames_-3.0_1.5_6.0,RIGHT_ELBOW,80.88680010309204,3.0838786871506456,11
CapturedFrames_-3.0_2.0_-1.0,LEFT_ELBOW,-36.12221528068772,21.533124861510533,85
CapturedFrames_-3.0_2.0_-1.0,RIGHT_ELBOW,44.40937809989357,11.062599303796338,85
CapturedFrames_-3.0_2.0_-2.0,LEFT_ELBOW,-35.223325768982576,15.684524431046782,83
CapturedFrames_-3.0_2.0_-2.0,RIGHT_ELBOW,37.98572756323618,11.775415371332837,83
CapturedFrames_-3.0_2.0_-3.0,LEFT_ELBOW,-39.85596722695647,17.943704621592314,69
CapturedFrames_-3.0_2.0_-3.0,RIGHT_ELBOW,34.957873250951934,13.053063383118591,69
CapturedFrames_-3.0_2.0_-4.0,LEFT_ELBOW,-38.99617646115218,13.71214798327431,54
CapturedFrames_-3.0_2.0_-4.0,RIGHT_ELBOW,35.586428457282686,12.562938846738732,54
CapturedFrames_-3.0_2.0_-5.0,LEFT_ELBOW,-34.342924196455684,6.515192897774628,36
CapturedFrames_-3.0_2.0_-5.0,RIGHT_ELBOW,33.0001177895426,12.292374282209124,36
CapturedFrames_-3.0_2.0_-6.0,LEFT_ELBOW,-33.83579603540787,2.053562712119553,16
CapturedFrames_-3.0_2.0_-6.0,RIGHT_ELBOW,39.24398451372719,7.008975320414166,16
CapturedFrames_-3.0_2.0_0.0,LEFT_ELBOW,-49.38139491712615,29.404063951821453,84
CapturedFrames_-3.0_2.0_0.0,RIGHT_ELBOW,50.458154779706156,10.981978697387632,84
CapturedFrames_-3.0_2.0_1.0,LEFT_ELBOW,-63.35968009989998,31.716325604541822,96
CapturedFrames_-3.0_2.0_1.0,RIGHT_ELBOW,57.605663607175266,9.705242367582962,96
CapturedFrames_-3.0_2.0_2.0,LEFT_ELBOW,-65.52514486904758,24.753635126057716,92
CapturedFrames_-3.0_2.0_2.0,RIGHT_ELBOW,63.09610804313288,10.049715745515902,92
CapturedFrames_-3.0_2.0_3.0,LEFT_ELBOW,-68.43126897430488,16.9015089489921,81
CapturedFrames_-3.0_2.0_3.0,RIGHT_ELBOW,67.52815994765638,10.724773424493595,81
CapturedFrames_-3.0_2.0_4.0,LEFT_ELBOW,-70.05567928948317,12.028032228173856,42
CapturedFrames_-3.0_2.0_4.0,RIGHT_ELBOW,70.40746158493093,11.543432740979314,42
CapturedFrames_-3.0_2.0_5.0,LEFT_ELBOW,-72.63913892888371,8.686262026735152,27
CapturedFrames_-3.0_2.0_5.0,RIGHT_ELBOW,70.89956983739309,10.435147147435302,27
CapturedFrames_-3.0_2.0_6.0,LEFT_ELBOW,-77.09240007770806,2.6531124027433797,7
CapturedFrames_-3.0_2.0_6.0,RIGHT_ELBOW,82.7630207483196,1.0340980965422042,7
CapturedFrames_-4.0_0.5_-1.0,LEFT_ELBOW,-44.58179656918947,16.780312202947393,99
CapturedFrames_-4.0_0.5_-1.0,RIGHT_ELBOW,47.87903616074158,16.57575261794739,99
CapturedFrames_-4.0_0.5_-2.0,LEFT_ELBOW,-42.18434173692286,15.117059834729082,86
CapturedFrames_-4.0_0.5_-2.0,RIGHT_ELBOW,43.17452017404506,15.824227177597628,86
CapturedFrames_-4.0_0.5_-3.0,LEFT_ELBOW,-43.241793060584115,13.400597950508399,68
CapturedFrames_-4.0_0.5_-3.0,RIGHT_ELBOW,42.67002259622486,15.7873941069926,68
CapturedFrames_-4.0_0.5_-4.0,LEFT_ELBOW,-41.51923648558449,12.200493724002584,47
CapturedFrames_-4.0_0.5_-4.0,RIGHT_ELBOW,41.39805300303758,13.956506450536365,47
CapturedFrames_-4.0_0.5_-5.0,LEFT_ELBOW,-38.45835359694656,11.465896171411709,28
CapturedFrames_-4.0_0.5_-5.0,RIGHT_ELBOW,40.34247808468693,14.200929481693816,28
CapturedFrames_-4.0_0.5_-6.0,LEFT_ELBOW,-41.57331550556557,4.857342719033285,14
CapturedFrames_-4.0_0.5_-6.0,RIGHT_ELBOW,45.9323038070733,4.945537207119597,14
CapturedFrames_-4.0_0.5_0.0,LEFT_ELBOW,-51.06467541315672,18.812548940508684,105
CapturedFrames_-4.0_0.5_0.0,RIGHT_ELBOW,55.00587242856578,17.982992835516516,105
CapturedFrames_-4.0_0.5_1.0,LEFT_ELBOW,-56.56561105598838,18.294770477553108,104
CapturedFrames_-4.0_0.5_1.0,RIGHT_ELBOW,60.14046413226097,14.871960112014332,104
CapturedFrames_-4.0_0.5_2.0,LEFT_ELBOW,-55.886041645496356,16.323728265184783,68
CapturedFrames_-4.0_0.5_2.0,RIGHT_ELBOW,60.723058892496795,13.234030290787317,68
CapturedFrames_-4.0_0.5_3.0,LEFT_ELBOW,-58.60940682254411,14.031065678804598,49
CapturedFrames_-4.0_0.5_3.0,RIGHT_ELBOW,63.833279219831034,11.717931436952012,49
CapturedFrames_-4.0_0.5_4.0,LEFT_ELBOW,-75.46042685988414,6.207851126037723,41
CapturedFrames_-4.0_0.5_4.0,RIGHT_ELBOW,72.56277639288304,8.74693825295539,41
CapturedFrames_-4.0_0.5_5.0,LEFT_ELBOW,-64.22452412629488,11.906574439628795,17
CapturedFrames_-4.0_0.5_5.0,RIGHT_ELBOW,70.14481867145507,15.113108456005847,17
CapturedFrames_-4.0_0.5_6.0,LEFT_ELBOW,-77.71251504659266,4.572491177361662,3
CapturedFrames_-4.0_0.5_6.0,RIGHT_ELBOW,83.64755235310157,3.464109373281829,3
CapturedFrames_-4.0_1.0_-1.0,LEFT_ELBOW,-45.36581578333386,18.997091153498516,99
CapturedFrames_-4.0_1.0_-1.0,RIGHT_ELBOW,46.91644628194483,14.427573530540851,99
CapturedFrames_-4.0_1.0_-2.0,LEFT_ELBOW,-42.905166882996326,16.859223017817765,84
CapturedFrames_-4.0_1.0_-2.0,RIGHT_ELBOW,42.02876333811765,14.850785851234107,84
CapturedFrames_-4.0_1.0_-3.0,LEFT_ELBOW,-44.96625626900664,15.083676117288352,60
CapturedFrames_-4.0_1.0_-3.0,RIGHT_ELBOW,41.27410810486278,14.691538173923808,60
CapturedFrames_-4.0_1.0_-4.0,LEFT_ELBOW,-42.50040203984966,12.754394000806805,42
CapturedFrames_-4.0_1.0_-4.0,RIGHT_ELBOW,39.51004113281173,13.054562199970396,42
CapturedFrames_-4.0_1.0_-5.0,LEFT_ELBOW,-37.91138490658648,10.553240799253672,28
CapturedFrames_-4.0_1.0_-5.0,RIGHT_ELBOW,37.68650921914686,14.758372780540238,28
CapturedFrames_-4.0_1.0_-6.0,LEFT_ELBOW,-40.09407404284872,5.185161852556731,7
