folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,joint,n_frames,mean_cos_phi,mean_abs_cos_phi,mean_error_dot_mc,mean_error_norm,median_abs_cos_phi
CapturedFrames_1.0_0.5_6.0,1.0,0.5,6.0,Y=0.5,0,N,LEFT_KNEE,15,-0.289158896741058,0.3317027751642968,-0.49064792516662575,0.3807657060969341,0.31674757000039
CapturedFrames_1.0_0.5_6.0,1.0,0.5,6.0,Y=0.5,0,N,LEFT_SHOULDER,15,0.06137855760276641,0.5044887996537555,-0.07594440339207577,0.19545819483293536,0.5285183927509179
CapturedFrames_1.0_0.5_6.0,1.0,0.5,6.0,Y=0.5,0,N,LEFT_WRIST,15,0.22213177226309402,0.5459548059600386,0.19694919793057908,0.441180031427536,0.6088408888507596
CapturedFrames_1.0_0.5_6.0,1.0,0.5,6.0,Y=0.5,0,N,RIGHT_ANKLE,15,0.33776809654008144,0.45098748589744564,0.9328282667537812,0.43811277788831926,0.5159194121397918
CapturedFrames_1.0_0.5_6.0,1.0,0.5,6.0,Y=0.5,0,N,RIGHT_ELBOW,15,-0.83583831501945,0.83583831501945,-1.726983876798308,0.518943081819311,0.8287982991831974
CapturedFrames_1.0_0.5_6.0,1.0,0.5,6.0,Y=0.5,0,N,RIGHT_KNEE,15,-0.5780993199983055,0.6139930677219039,-0.7970550033986127,0.309220767819418,0.7038754206905219
CapturedFrames_1.0_0.5_6.0,1.0,0.5,6.0,Y=0.5,0,N,RIGHT_SHOULDER,15,-0.9338140106287103,0.9338140106287103,-1.3157644220351479,0.3384197749209807,0.941624364170582
CapturedFrames_1.0_0.5_6.0,1.0,0.5,6.0,Y=0.5,0,N,RIGHT_WRIST,15,-0.9489566735126634,0.9489566735126634,-2.651391289200645,0.7358472415011886,0.9758848661075004
CapturedFrames_1.0_1.0_-3.0,1.0,1.0,-3.0,Y=1.0,4,S,LEFT_ANKLE,65,-0.30957067705147356,0.5274225444103783,-0.564871391242229,0.486599936375487,0.508982058207201
CapturedFrames_1.0_1.0_-3.0,1.0,1.0,-3.0,Y=1.0,4,S,LEFT_ELBOW,65,0.4364801765609579,0.5163697940667468,0.22069773484043484,0.174686405834352,0.5429878463510494
CapturedFrames_1.0_1.0_-3.0,1.0,1.0,-3.0,Y=1.0,4,S,LEFT_KNEE,65,-0.13043217298597484,0.29190170918393044,-0.14632275437897152,0.25302333025399404,0.22035700333223676
CapturedFrames_1.0_1.0_-3.0,1.0,1.0,-3.0,Y=1.0,4,S,LEFT_SHOULDER,65,-0.023410765917632786,0.482917246238624,0.02463125694807722,0.12126563147149118,0.5544990857163651
CapturedFrames_1.0_1.0_-3.0,1.0,1.0,-3.0,Y=1.0,4,S,LEFT_WRIST,65,0.4196928491887624,0.6161854660856729,0.2883583983105463,0.2136608965610215,0.6841857066534803
CapturedFrames_1.0_1.0_-3.0,1.0,1.0,-3.0,Y=1.0,4,S,RIGHT_ANKLE,65,-0.5319031148275827,0.6592969364249911,-0.5553717860865427,0.3601276521460919,0.7868407521053504
CapturedFrames_1.0_1.0_-3.0,1.0,1.0,-3.0,Y=1.0,4,S,RIGHT_ELBOW,65,0.5466408850646649,0.5480356135968598,0.46093829280044946,0.27691914717398985,0.5995306554266251
CapturedFrames_1.0_1.0_-3.0,1.0,1.0,-3.0,Y=1.0,4,S,RIGHT_KNEE,65,0.10669472433016472,0.5892912694339986,0.06133270827014559,0.17913729484436272,0.6493304848245548
CapturedFrames_1.0_1.0_-3.0,1.0,1.0,-3.0,Y=1.0,4,S,RIGHT_SHOULDER,65,0.911097245396926,0.911097245396926,0.712461387930979,0.28321053340586266,0.9468961063220431
CapturedFrames_1.0_1.0_-3.0,1.0,1.0,-3.0,Y=1.0,4,S,RIGHT_WRIST,65,0.3374435630073591,0.587947349213806,0.3901981787276451,0.26903857815432464,0.6708294491524457
CapturedFrames_1.0_1.0_-4.0,1.0,1.0,-4.0,Y=1.0,4,S,LEFT_ANKLE,65,-0.3927261219777824,0.5372833068688061,-0.6940552701393281,0.4665194817456063,0.6066332369882923
CapturedFrames_1.0_1.0_-4.0,1.0,1.0,-4.0,Y=1.0,4,S,LEFT_ELBOW,65,0.3562153129598637,0.4606744360113652,0.16354057526253474,0.1535543698205631,0.4715376866175712
CapturedFrames_1.0_1.0_-4.0,1.0,1.0,-4.0,Y=1.0,4,S,LEFT_KNEE,65,-0.19146535504070655,0.3391001191033145,-0.20183402338711628,0.24505100896387647,0.2614029639624277
CapturedFrames_1.0_1.0_-4.0,1.0,1.0,-4.0,Y=1.0,4,S,LEFT_SHOULDER,65,-0.20507651203582794,0.5027769112773844,-0.025199796956537596,0.12873882611029802,0.4506322794817442
CapturedFrames_1.0_1.0_-4.0,1.0,1.0,-4.0,Y=1.0,4,S,LEFT_WRIST,65,0.40136868484382826,0.6067379707249148,0.23954214401458648,0.19175844846452528,0.6197669401905289
CapturedFrames_1.0_1.0_-4.0,1.0,1.0,-4.0,Y=1.0,4,S,RIGHT_ANKLE,65,-0.5594058544849635,0.6180520616379902,-0.5043721538880536,0.29622591414749216,0.6961005961558072
CapturedFrames_1.0_1.0_-4.0,1.0,1.0,-4.0,Y=1.0,4,S,RIGHT_ELBOW,65,0.5179669532693469,0.5275828404444778,0.408197393437423,0.2808592078853033,0.5317909970123594
CapturedFrames_1.0_1.0_-4.0,1.0,1.0,-4.0,Y=1.0,4,S,RIGHT_KNEE,65,0.12647898149621092,0.5701846317344892,0.07883720135319386,0.1487134121365974,0.657376371782917
CapturedFrames_1.0_1.0_-4.0,1.0,1.0,-4.0,Y=1.0,4,S,RIGHT_SHOULDER,65,0.907475188444466,0.907475188444466,0.6774998019656798,0.2692183961299739,0.9725420077834682
CapturedFrames_1.0_1.0_-4.0,1.0,1.0,-4.0,Y=1.0,4,S,RIGHT_WRIST,65,0.30547580223100884,0.6197613691536169,0.32940213899926113,0.2842854058058441,0.7308146565859307
CapturedFrames_1.0_1.0_-5.0,1.0,1.0,-5.0,Y=1.0,4,S,LEFT_ANKLE,46,-0.33056454851197936,0.5647005719347841,-0.5771563747588995,0.4107213451990926,0.5878676873620132
CapturedFrames_1.0_1.0_-5.0,1.0,1.0,-5.0,Y=1.0,4,S,LEFT_ELBOW,46,0.15435056063725827,0.3950652717708656,0.07669236300261573,0.14198549759633994,0.3871256317202063
CapturedFrames_1.0_1.0_-5.0,1.0,1.0,-5.0,Y=1.0,4,S,LEFT_KNEE,46,-0.18042763247676738,0.3537886507235021,-0.19328375983967175,0.21863297863145698,0.267343517702622
